row_num,client,client,sub,total,year,catcode
2123,3-V Biosciences,3-V Biosciences,200000,2009,H4300
2023,3-V Biosciences,3-V Biosciences,100000,2010,H4300
3890,3DMD,3DMD,20000,2007,H4100
4230,4 Sc Ag,4 Sc Ag,100000,2007,H4500
4402,4 Sc Ag,4 Sc Ag,0,2008,H4500
1899,A Voice for All,A Voice for All,120000,2007,H4100
2082,A Voice for All,A Voice for All,70000,2008,H4100
1706,A Voice for All,A Voice for All,60000,2005,H4100
2272,A Voice for All,A Voice for All,60000,2006,H4100
6661,A Voice for All,A Voice for All,40000,2009,H4100
5583,Aai Pharma,Aai Pharma,0,2001,H4300
6832,Aastrom Biosciences,Aastrom Biosciences,150000,2007,H4500
6192,Aastrom Biosciences,Aastrom Biosciences,60000,2008,H4500
6580,Abbott Laboratories,Abbott Laboratories,6789000,1999,H4300
255,Abbott Laboratories,Abbott Laboratories,6020000,2012,H4300
168,Abbott Laboratories,Abbott Laboratories,4880000,2010,H4300
213,Abbott Laboratories,Abbott Laboratories,4840000,2000,H4300
246,Abbott Laboratories,Abbott Laboratories,4760000,2004,H4300
249,Abbott Laboratories,Abbott Laboratories,4670000,2009,H4300
408,Abbott Laboratories,Abbott Laboratories,4640000,2008,H4300
248,Abbott Laboratories,Abbott Laboratories,4360000,2007,H4300
358,Abbott Laboratories,Abbott Laboratories,4290000,2011,H4300
177,Abbott Laboratories,Abbott Laboratories,3980000,2005,H4300
237,Abbott Laboratories,Abbott Laboratories,2980000,2001,H4300
176,Abbott Laboratories,Abbott Laboratories,2600000,2002,H4300
214,Abbott Laboratories,Abbott Laboratories,2480000,2003,H4300
224,Abbott Laboratories,Abbott Laboratories,2480000,2015,H4300
247,Abbott Laboratories,Abbott Laboratories,2360000,2006,H4300
219,Abbott Laboratories,Abbott Laboratories,2080000,2014,H4300
215,Abbott Laboratories,Abbott Laboratories,2060000,2013,H4300
407,Abbott Laboratories,Abbott Laboratories,1877000,1998,H4300
324,Abbott Laboratories,Abbott Laboratories,1470000,2016,H4300
250,Abbott Laboratories,Abbott Nutrition,30000,2008,H4300
225,Abbott Laboratories,Abbott Nutrition,20000,2006,H4300
229,Abbott Laboratories,Abbott Nutrition,20000,2007,H4300
199,Abbott Laboratories,Abbott Diabetes Care,0,2006,H4100
200,Abbott Laboratories,Abbott Diabetes Care,0,2009,H4100
226,Abbott Laboratories,Abbott Nutrition,0,2009,H4300
261,Abbott Laboratories,Abbott Diabetes Care,0,2007,H4100
